,text
47,Is it easy to learn data science for fresher or after 3 year gap.
48,Pls tell me intellipaat is good for data science placement program?
49,Hi.... how we can write code for CASE statement with GROUP BY
50,"Can anybody help me out? <br>Problem (<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1537"">25:37</a>) = <br>ERROR:  column &quot;custid&quot; of relation &quot;customer&quot; does not exist<br>LINE 2:  (CustID, CustName, Age, City, Salary)"
51,Not able to create table
52,SQL Seq :- SELECT-FROM-WHERE-GROUP BY-HAVING-ORDER BY-LIMIT<br>@Rishabh your teaching energy very cool<br>Thanks so much.
53,Order of execution in sql : <br>1) From<br>2)Where<br>3)Group By<br>4)Having<br>5)Select <br>6)Order<br>7)Limit
54,"suppose we have a csv file containing 5 columns but we want only one column to be imported in the given column of the SQL ,<br>How to do it ? <br>we don&#39;t want whole table just one column ."
55,what if we have to delete the value of one cell from one row of a table ?
56,I really love teachers<br>they r my god 😊
57,Timestamp function is not working?
58,YOU ARE REALLY GOOD TEACHER  SIR
59,Thankyou so much ❤❤
60,Thank you sir for sharing informing videos.
61,Order of execution in SQL .<br><br>1 FROM <br>2 WHERE <br>3 GROUP BY <br>4 HAVING <br>5 SELECT <br>6 ORDER BY <br>7 TOP
62,I am getting syntax error in ALTER TABLE ( syntax error at or near &quot;;&quot;)<br>Ex :- ALTER TABLE customer <br>        ADD COLUMN worktime;
63,Perfect video for beginners Thank you
64,Window functions samaj ny aya please expalin again with more eg
65,Where are the ranking functions used in SQL. What’s the use of creating them? Can you specify some examples??
66,Thank you
67,"Showing for me for INSERT INTO command <br><br>says ERROR:  column &quot;custid&quot; of relation &quot;customer&quot; does not exist<br>LINE 2: (CustID, CustName, Age, City, Salary)<br><br><br>This is the query I have written - <br><br>INSERT INTO customer<br>(CustID, CustName, Age, City, Salary)<br>VALUES<br>(1, &quot;Ram&quot;, 19, &quot;Delhi&quot;, 9000),<br>(2, &quot;Sam&quot;, 23, &quot;Bangalore&quot;, 11000),<br>(3, &quot;Pam&quot;, 32, &quot;Mumbai&quot;, 6000),<br>(4, &quot;Jaam&quot;, 41, &quot;Pune&quot;, 10000);<br><br>Please tell me where did I have made a mistake"
68,"Select, from limit ,where ,group by , having, order by"
69,Order of Execution : FROM &gt; WHERE &gt; GROUP BY &gt; HAVING &gt; SELECT &gt; ORDER BY &amp; LIMIT
70,"ORDER OF EXECUTION IN SQL ----&gt;  SELECT ,  FROM ,  WHERE , GROUP BY ,  HAVING ,  ORDER BY ,  LIMIT"
71,❤<br><br>Ram Ram Rishabh<br><br>Bhdkna nhi😅<br><br>Bhut acha video h bahut badhiya
72,Sir I like ur course
73,Thank you very much.
74,"Hello Rishabh Sir,<br>I&#39;m facing issues for understanding the project scenario in SQL and also facing issue with righting complex and join and sub-queries. Can you please let me know what should I do for it?"
75,Nice session sir.. Learn lot of things❤
76,Very helpful vedio for beginners...thank you
77,Thank you so much for the amazing MySQL course! Your clear explanations and practical examples made learning a breeze. I&#39;m grateful for your dedication to sharing your expertise. Keep up the fantastic work!
78,nice job brother Mishra
79,"Hello Rishabh, which software will download for desktop please share the link ."
80,"Maza aya gaya bro video dekhke. Please make tutorial on SAS, Alteryx and Python also"
81,"Hi Rishabh,<br>I&#39;m confused about why we&#39;re only getting two rows in the JOIN query when both tables have the same customer_id numbers. Could you explain that to me?"
82,AOA.sir I&#39;m so new..help me which version are u using in this video please as sooon as possible
83,Thank you so much Mentor 🙏 God Bless You... Keep Teaching Us... 😊
84,"that &quot;bhadak jaega&quot; was hilarious! 😂😂 <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3414"">56:54</a>"
85,Object of database ??
86,nice explain sir
87,"Hello Rishabh,<br><br>I&#39;ve been following your content for the past three to four months. I come from a non-IT background and I&#39;m eager to acquire data analyst skills. Your videos have inspired me, making me believe that I can also transition into a data analyst role in a few months.<br><br>I&#39;m a bit confused about one aspect though: after learning all the necessary skills, what should we do to maintain our practice? What specific goals should we set to keep ourselves engaged and continuously improve?"
88,Very Nicely explained.
89,thanks for the this great tutorial sir!!!😊
90,@RishabhMishraOfficial Thank you for the course. Can you please share the steps how to install and configuration of Postgre ?
91,25 march 2024
92,"Unable to copy data from csv file <br><br>ERROR:  could not open file &quot;C:\Users\rj371\Downloads\payment.csv&quot; for reading: Permission denied<br>HINT:  COPY FROM instructs the PostgreSQL server process to read a file. You may want a client-side facility such as psql&#39;s \copy. <br><br>SQL state: 42501"
93,Sir bahut koshish kr rha hu lekin sql smjh ni aara.... Actually me koi queries ya question milta h to uska solution ni kr pa rha
94,Great Work bro !!!! More power to you
95,bro how to create a table in microsft server and tel me some projects related to sql it useful my data analytics course
96,vai from 32.50 the code shows error. Because there are no classroom data in the sql
97,Thnx🎉
98,"Bro plz make full course fo DA and BA make it on YT or make it paid(affordable), but plz make it"
99,"Hello Rishabh,<br>I recently progressed for Google&#39;s Data Analytics Apprentice role and your videos helped me on the way a lot. They boosted my confidence and helped my understanding of Data Analytics better.<br><br>Just wanted to thank you for your efforts !!!"
100,"Hello sir kya aap bata sakte ho ki aap konsa version use kr rahe ho SQL queries run krne ke liye, ya fir aap iska link share kr skte ho to bahot acha hoga, me apka ye informative video dekh kr hi sikh rahi hu SQL, or me jispe ye queries run kr rahi hu uss application me thoda sa confused ho rahi hu"
101,please  a video of cte in the my sql software
102,"hi Rishab, can we take INT in salary column instead of numeric..does it work diffrently?"
103,"wao, thank you soo much"
104,Very Good Sir
105,"Hi Rishabh your video is really helpful. May i know which database we are using in this tutorial to create table in <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1312"">21:52</a> i am little confused."
106,It would be useful if u use mysql application
107,14 march 2024
108,Select column<br>From table<br>Where condition<br>Group by column<br>Having condition<br>Order by column<br>Limit no. Of rows
109,sir my sql me kaise import karte hai
110,Is anybody facing any issue in downloading the pdf?
111,Hello sir Nitin this side<br>Actually there is a problem in the alter table example<br><br>To modify the column syntax<br>Alter table customer<br>Alter column Gender char(10) ;<br>This shows wrong syntax. <br><br>The right syntax is<br>Alter table customer<br>Alter column Gender type char(10) ;<br><br>Please correct this sir. <br>Huge fan of your sql coruse❤
112,thank you so much rishabh bhaiyya
113,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=884"">14:44</a> If foreign keys will have duplicate values, will it not violate the uniqueness constraint required by a foreign key, as it establishes a relationship between two tables, referencing the primary key of another table."
114,soft too
115,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
116,notes bhi dedo please
117,I really appreciate your help and efforts.Thanks for sharing keep doing !!!!💖
118,Job keya milega?? Kaise aur kaha pey apply karna hoga?
119,"Thanks Rishabh for explaining everything in single video, it&#39;s really helpful..😊😊"
120,"create table customer<br>	(<br>     column_numb int8 primary key,<br>	Disease varchar(255),<br>	Preacution_1 varchar(255),<br>	Preacution_2 Varchar(255),<br>	Preacution_3 varchar(255),<br>	Precaution_4 varchar(255),<br>);    kindly is ma kha pa error aa bta daaa."
121,Wonderfull father of SQL Thanks a lot
122,"Unable to Download the PDF , CAN YOU PLEASE CHECK DOWNLOAD LINK"
123,"Hey i&#39;m so grateful for this video, the explanation is easy to understand but i&#39;m facing several types of errors as in when to use upper case, lower case ,single and double quotes while inserting values in Table.😥😥"
124,"FROM, WHERE , GROUP BY , SELECT , HAVING , ORDER BY , LIMIT"
125,Notes link is not working
126,Sir aapn oracle 21c express edition pe bhi ye karwa sakte he kya ❓
127,"Thanks Sir , Helpful❤"
128,Kudos bro 👏 you tought really well
129,Hey ho to import data in sql from excel
130,"Hi,<br>I am facing one of the issues of border creation in the output table. As the rows are created without borders. Can you please help me here?"
131,"Assignment -1<br>SELECT, FROM, WHERE, LIMIT, GROUP BY HAVING BY, ORDER BY"
132,"I have done PhD in Physics and want to switch my career to data analyst. Completing these YouTube courses and updating my cv and LinkedIn, how easy to get a job and what salary can I expect in my first job?"
133,"Highly appreciated your efforts and way of making things understand , even though we all are equipped with English , understanding in simple hindi language is always more relatable. I dont usually drop comments but you have been very helpful . Wish you continue the same for us.. Newly transitioning my career and this has been helpful . Thank you for your video."
134,I am student MCa final year <br>Thankyou sir 🥰 such a very nice video thanks again🥰
135,"this video is amazing my all doubts clear,thanks alot"
136,I appreciate your knowledge Rishab sir thank you so much for this wonderful sql tutorial
137,cte more clearly one more example
138,"Really Appreciate your work, very well  explained ...Thanks for the content"
139,@RishabMishraOfficial Do you have any paid course for SQL BEgginer to Advanced level
140,Thanks sir amazing👍👍
141,👍
142,Thank you so much Rishabh... Whole course id really very helpful and your way of explaining is fabulous. One of the best SQL course on youtube🙌!
143,Thank you so much Rishabh... Whole course id really very helpful and your way of explaining is fabulous. One of the best SQL course on youtube🙌!!
144,Maja aa gaya sir love you ❤️❤️
145,this is best course for sql learning
146,Thank you bro for the video<br>Best video online ❤❤❤❤<br>Keep it up we are with you
147,Thank You sir for provinding this leacture.<br>By watching it full can i clear cognizant interview?
148,Sir Python ka one shot full tutorial video upload kar dijiye.Full python cover A to Z
149,Import/export error <br>HINT: COPY FROM instructs the postgressSQL server process to read a file
150,"Hi Sir, first of all thanks for the tutorial. I&#39;m facing an error while inserting the value into the table. A little background, I created a table name profile and created 5 columns into it under the name ( ID, NAME, AGE, CITY, SALARY). However, I can&#39;t inser any value into the table due to an error. I&#39;m getting this error message only. <br>ERROR:  column &quot;id&quot; of relation &quot;profile&quot; does not exist<br>LINE 1: INSERT INTO profile (ID, NAME, AGE, CITY, SALARY)<br>                             ^ <br><br>SQL state: 42703<br>Character: 22<br><br>Can you please help?"
151,Bro I am using Microsoft SQL SMS it is a bit different from this one and creating few errors in query return what do you suggest should I switch to different one?
152,Thank you sir<br>Because of your cours I got my first job<br>( Special your join functions diagram )
153,What exactly is the difference between int and numeric? What format of data it can accept? Also when you give it as int for Age column what will be the default length?
154,what do you suggest for Front end ?
155,"FROM ,WHERE  ,GROUP By , HAVING, SELECT, ORDER BY, LIMIT order of execution in SQL"
156,Thanku So much for this video
157,i am working👨‍💻 as data analyst in tigeranalytics... nice to see people like u sharing knowledge to youngster
158,Order of execution Answer<br><br>Select<br>From<br>Where<br>Limit<br>Group by<br>Having<br>Order by
159,"Select, from,where, group by, having, order by, limit"
160,Thanks bhaiya for sql course. I enjoyed the whole course and gives me a deep understanding of the sql. One thing is missing<br>as you have not mentioned the country table in cte lecture in example of multiple ctes. please provide it. It is not present in the notes also. At last thanks bhaiya.
161,"Hello Rishab Sir, I am facing another issue that is when I am trying to convert the CSV file using SQL commands as taught by you, it is throwing an error and in the hint it is asking for some sort of permission and also I am unable to do the same manually as directed by you. Can you please give me a solution?"
162,I did thumbs up
163,"Document provide kijiye Bhai saheb, share the path where we can download"
164,select<br>from<br>limit<br>where<br>group by<br>having<br>order by<br><br>is this right ? @rishabhmishraofficial Bhaiya
165,Thank you explaining in hindi in such a great way
166,Sir ye pg admin kya h??
167,Select <br>From<br>Where<br>Group by<br>Having  <br>Limit<br>Order <br><br> I hope this is the sequence
168,select<br>from<br>where<br>group by<br>having<br>oder by<br>limit
169,"Rishab bhayya cte ke lie 3rd table jo ap dikha rahey hen (country) woh na hi link me apney share kia hy aur na hi github me, ab user bechara to latak gaya 😁🤣 practice kesey karega cte????🤔"
170,Your explanation was next level..Thanks | God bless you
171,"Sir ek video running total per bhi bana do jiss main two table ho aur usmain ek id,date,bill no, name,item, qty, aur total ho doosre main id,date, name, payment ho. Maine bhut dhoonda lekin mere hisab se result nhi mila. Main non it banda hoon aur education bhi 10th ki hai . Please help"
172,"Brother, you explained very well and I believed that I can also learn SQL from your YouTube channel..🇮🇳🙏"
173,"Hi Rishabh Sir, <br>Sir why i have to always put the column names in the double commas while using in the statements unlike you. If i try to use them without putting them into the commas it gives error that the column name doesnot exists in the table. Please help."
174,Hlo sir good evening<br>Sir can you help me in SQL please sir there is my exam on 1st Feb I am facing an issue related SQL query please reply me.
175,Halo sir I am forgot my password of posgresql now what I do can you help me
176,"U r amazing, in very less time u have covered all the topics in sql."
177,Rishab is this course enough for mastering SQL <br>and for entry level job
178,Sir mai non IT background hoon or abhi currently mba complete Kiya h but mujhe data analyst banna h kya ye important h ki aapke pass certificate hona chahiye data analyst ka data analyst banne ke liye please tell me mai bina certificate ke kisi company me data analyst ki profile par kaise job loon
179,Sir mai non IT background hoon or abhi currently mba complete Kiya h but mujhe data analyst banna h kya ye important h ki aapke pass certificate hona chahiye data analyst ka data analyst banne ke liye please tell me mai bina certificate ke kisi company me data analyst ki profile par kaise job loon
180,Thank you so much
181,SELECT<br>LIMIT<br>FROM<br>WHERE<br>GROUP BY<br>HAVING<br>ORDER BY
182,"SELECT FROM LIMIT,SELECT FROM WHERE,SELECT FROM WHERE GROUP BY HAVING ORDER BY"
183,Sir full  python in data analytics ka full course bnao or list..... Pls
184,Bhai ek request hai aap stored procedure ka video bana Dena please .<br><br>Thank you.😊
185,"bhai with delete operater, after deleting a row , doesn&#39;t make any changes in the actual database right?"
186,Only SQL base pr job lg shakti hai kya
187,It means first we have to create database on our own then we can edit ?
188,"select, from, where , group by, having ,order by, limit (quick assingment 1)"
189,Admit it ! You have made this course according to the sql course of codecamp.
190,Can Non IT person get job after learning SQL.
191,"can anyone solve my query,  I am trying to register a server or even trying to connect but each time it shows that &#39;&#39; connection time out&#39;&#39; I tried every possible steps from 10 to making the time out problem to 100 or 500 done every possible thing. Can anyone solve it please"
192,"Hi Rishabh Sir, very useful video to learn SQL fundamentals, the sequence of command will be; SELECT, FROM,LIMIT   , SELECT, FROM , WHERE    , SELECT, FROM,GROUP BY,HAVING,ORDER BY   ...   Thanks"
193,Hello rishabh sir ..<br> maan lo 2 table hai employee or department. Agar empid employee table mai hai or department table mein nhi hai to uski query kaise hogi.. matlab data ek table mai hai or dusre table mai nhi toh query kaise aayegi
194,What is the difference between integer and numeric values are they both same?
195,thank you so much for making this video
196,"Watched till <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1537"">25:37</a>❤<br>Baki Kal dekhunga"
197,Thank you Rishabh for this video!! Your explanation is very good. Your video helps us to learn.
198,Thanks sir for the quality content 🙏🇮🇳
199,Perfect 👍
200,"COPY, TIMESTAMP functions are not working in MySQL workbench. Is this an issue or flaw of the software only?"
201,"SELECT  mode sum(amount) AS <br>total From payment<br>Group by mode <br>orderby total<br>having id=1,<br>limit =5"
202,Select * from Customer where age&lt;20 group by age having age&gt;15 order by dsc limit 10
203,Bro the file you give in description... Bhai love ho gya mera paper h DataBase ka or Kamal bht achi pdf bnai h ap ny thank you so much bro❤
204,File not uploaded
205,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3916"">1:05:16</a> SELECT&gt;FROM&gt;WHERE&gt;GROUP BY&gt;HAVING &gt;ORDER BY&gt;LIMIT ... IN ORDER TO TOP TO BOTTOM."
206,"Hello Rishabh,<br>I&#39;m unable to download PDF SQL document from above link. Could you please re-share it as that would be really helpful."
207,&#39;Sb kuch &#39; Smjh aagya 😅😇
208,just following your Business analyst roadmap. Now After Excel i am hear to learn SQL 🔥
209,"Hi Rishab bhai, thanks for spreading knowledge. Here is the quick assignment of 01: Select | from | where | group by | having | order by | limit"
210,"I am not able to create data base in my SQL work bench, please can you help me regarding tis"
211,"SQL order of execution <br>Getting Data(from ,join)&gt; raw filter(where)&gt;grouping(group by)&gt;group filter(having)&gt;return expression(select)&gt;order and paging(order by and limit/offset)"
212,cte quarry na aaya samjh sir
213,"Hi Rishabh, Thanks for the valuable knowledge. Could you please suggest, knowledge shared in this tutorial is enough to get a job based on SQL skills only shared by you in this tutorial ????"
214,Thanks bro I hope it help me
215,Pls put english subtitles
216,Pls put english subtitles
217,Select&gt;From&gt;Limit&gt;Order by&gt;Group By&gt;Having by.
218,Thank you so much Sir!
219,"FROM: Specifies the table or tables from which to retrieve the data.<br>WHERE: Filters the rows based on a specified condition.<br>GROUP BY: Groups the result set by one or more columns.<br>HAVING: Filters the groups based on a specified condition.<br>SELECT: Specifies the columns to be retrieved in the result set.<br>ORDER BY: Sorts the result set based on one or more columns.<br>LIMIT: Limits the number of rows in the result set."
220,ZELECT payment date<br>FROM    customer<br>GROUP BY payment date<br>HAVING    amount&lt;=30
221,Thanku sir
222,"Boss , finally my first content that i was able to complete in a whole decade . Thankful to your simplicity . Looking forward to a one on one session or a quick call, please let me know , if it can be a google meet , zoom or skyp call , it would be really really helpful"
223,Nahi ho raha h brother it&#39;s showing error same to same query likh Raha hu phir bhi error show ho Raha h
224,How to download pdf
225,"Rishabh,<br>@<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1615"">26:55</a> While writing Column names like (ID, Name,Age,City,Salary). It is not accepting it and throwing error, but when I used (&quot;ID&quot;, &quot;Name&quot;,&quot;Age&quot;,&quot;City&quot;, &quot;Salary&quot;), it went through and returned the table. Why is it so?"
226,"Quick Assignment :01<br><br>select mode, round(avg(amount) ,2) AS AVGAMT<br>from payment <br>group by mode<br>having round(avg(amount) ,2) &gt;=40 and round(avg(amount) ,2) &lt; 55<br>ORDER BY AVGAMT DESC<br>LIMIT 3."
227,"Hi Friends👋! Hope you are all doing good in 2024🥳!, I&#39;m excited to share my latest Power BI YouTube video with you🤩. How to filter top 10 values in Power BI Table?<br>👉 <a href=""https://www.youtube.com/watch?v=_WfdH6WPBIw&amp;t=22"">https://www.youtube.com/watch?v=_WfdH6WPBIw&amp;t=22s</a><br><br>Check it out i&#39;d love to hear your comments  and let me know about what you think! Don&#39;t forget to like, subscribe, and hit the notification bell to stay updated on more Power BI tips and tricks."
228,i dont know what i should write in comment but i am doing this just to appreciate ur effort vvv tanks 😇
229,delete from tablename also does same like truncate then what is the difference?
230,Bhai i will not be able to describe your effort in words.
231,Nice course
232,Great work<br><br>Can we export an Excel File (CSV) from SQL output?
233,sql advanced pls and sql injection please
234,sorry bhai galti se laggaya
235,I watch Big Boss for Munawar Bhai
236,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3632"">1:00:32</a>"
237,"Hi Rishabh,<br>Can I practice all these learnings in SQL Server Studio which you did in Pg Admin."
238,"I would say I really appreciate the <a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=9284"">2:34:44</a> hours long free tutorial! People like you make it possible for me to learn for free."
239,Nice work
240,"@Rishabmisharoffical.       hello sir, im looking for internship , how can i search for internship recently comeplete python,tableau,sql"
241,"So simplified boss , thanks a ton , promoting around my community. Please share your linkedin🎉"
242,Hey Rishabh<br>Am not able to get the expected output for windows aggregate function.<br>It only shows sum in a single row other than that it shows new_id only.<br>Can you please help me resolve this?
243,Helpful content. Make video on SQL practice questions.
244,Select<br>Limit<br>From<br>Where<br>Group by<br>Having<br>Order by
245,alter table me alter column datatype alter nahi ho rahi so plz share
246,Hi Good work &amp; keep it up.where can I practice free or can I download any free database where I can practice?
247,Bhai main USA se hu thora program run nahi ho pa raha hai or thora simple trika se samjhoge please thank you
248,Thik👍
249,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1134"">18:54</a>"
250,very nice👍
251,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=880"">14:40</a>"
252,completed. Thank you sir 🔥
253,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=1021"">17:01</a>"
254,Sir ap offline tutions bhi provide krtey ho ???
255,Hello sir I am from Pakistan I learned sql from your videos I benefited a lot your explanation style is very awesome
256,finally completed with exercise thanks sir for your valuable content.
257,Assignment <br>Select<br>From<br>Where <br>Group by<br>Having<br>Order by<br>Limit
258,Yar ye folks mat bola kro.. Faltu lagta he
259,select <i>_____</i> From<br>     Where_<i>____</i><br>     Group By_<i>_____</i> <br>       Having By_<i>_________</i><br>      Order By_________Asc Dsc
260,sir practice kaha se kare
261,"ust completed full SQL Course✅.<br>Must say one of the best course series I have come across. Its really helpful and u have made the learning so easy to understand. Keep up the good work Man !!! 😀"
262,"Select,from, where, group by, order by, limit, having"
263,"<a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=2536"">42:16</a>"
264,"Updated video for SQL SERVER 2022<br><a href=""https://www.youtube.com/watch?v=9P9F0A5IM5o"">https://youtu.be/9P9F0A5IM5o?si=7SNv4ARMYx1p9kPW</a>"
265,how to save in pgmyadmin 4??
266,"Good compilation, simple and compact"
267,Course ki pdf kaha milegi
268,"I think the order of Execution is same as given in question<br>( SELECT, FROM, WHERE, GROUP BY, HAVING, ORDER BY, LIMIT)<br><a href=""https://www.youtube.com/watch?v=On9eSN3F8w0&amp;t=3915"">1:05:15</a>"
269,Thank you 😊
270,Thank you so much the complete course sir.. every good explanation.
271,Hii sir pdf link is not working
272,"Guru, please create more videos for intermediate level learners"
273,Hi Rishabh. you are amazing. Your style is understandable. keep it up
274,Sir your way of teaching is Ultra pro
275,Kya ye complete course hai
276,You Dint told about installing the PGSQL how to configure it !! Please let me know about that too
277,"Insert Into customer<br>(id, name, Age, City, Salary)<br>Values<br>(1, &#39;Sam&#39;, 26, &#39;delhi&#39;, 9000),<br>(2, &#39;Ram&#39;, 19, &#39;Bangalore&#39;, 110000),<br>(3, &#39;Pam&#39;, 31, &#39;Mumbai&#39;, 6000),<br>(4, &#39;Jam&#39;, 42, &#39;Pune&#39;, 10000);<br> <br>I put up this query but it shows error<br>ERROR:  column &quot;age&quot; of relation &quot;customer&quot; does not exist.<br>Please reply and help."
278,I am not able to import data in postgre SQL sir
279,"You have not shown , how to inset data from excel"
280,facing issue to import data from csv file to sql
281,Sir is this video sufficient of SQL COURSE Please reply sir
282,Can anyone please explain why I’m unable to export the sql query in post gres as well as my sql !!
283,"Hi Rishabh Bhaiya,<br>Thank you so much for this amazing course. Initially, I was scared of SQL, but this course made it easy! Now, I&#39;m able to solve the SQL problems confidently."
284,thank you🙏 so much sir.. kind your explain information about  sql
285,thank you🙏 so much sir.. kind your explain information about  sql
286,"1 .select<br>2. from<br>3. where<br>4. limit<br><a href=""http://5.group/"">5.group</a><br>6. having<br>7.order"
287,"In this tutorial you said that the table name should be either in capital or in small basically its case sensitive, but when I checked using MySQL, I could access the table using both small and capital letters."
