text,sentiment
bro plz make full course fo da ba make yt make paidaffordable plz make,Positive
hello rishabhi recently progress google data analytics apprentice role video help way lot boost confidence help understand data analytics betterjust want thank effort,Positive
hello sir kya aap bata sakte ho ki aap konsa version use kr rahe ho sql query run krne ke liye ya fir aap iska link share kr skte ho bahot acha hoga apka ye informative video dekh kr hi sikh rahi hu sql jispe ye query run kr rahi hu uss application thoda sa confuse ho rahi hu,Neutral
please video cte sql software,Neutral
hi rishab take int salary column instead numericdoes work diffrently,Positive
wao thank soo much,Positive
good sir,Positive
hi rishabh video really helpful may know database use tutorial create table 2152 little confuse,Neutral
would useful u use mysql application,Neutral
14 march 2024,Neutral
select columnfrom tablewhere conditiongroup columnhaving conditionorder columnlimit row,Negative
sir sql kaise import karte hai,Positive
anybody face issue download pdf,Neutral
hello sir nitin sideactually problem alter table exampleto modify column syntaxalter table customeralter column gender char10 show wrong syntax right syntax isalter table customeralter column gender type char10 please correct sir huge fan sql coruse❤,Positive
thank much rishabh bhaiyya,Positive
1444 foreign key duplicate value violate uniqueness constraint require foreign key establishes relationship two table reference primary key another table,Positive
soft,Positive
,Positive
note bhi dedo please,Neutral
really appreciate help effortsthanks share keep 💖,Positive
job keya milega kaise aur kaha pey apply karna hoga,Positive
thanks rishabh explain everything single video really helpful😊😊,Positive
create table customer columnnumb int8 primary key disease varchar255 preacution1 varchar255 preacution2 varchar255 preacution3 varchar255 precaution4 varchar255 kindly kha pa error aa bta daaa,Neutral
wonderfull father sql thanks lot,Positive
unable download pdf please check download link,Neutral
hey im grateful video explanation easy understand im face several type error use upper case lower case single double quote insert value table😥😥,Neutral
group select order limit,Negative
note link work,Positive
sir aapn oracle 21c express edition pe bhi ye karwa sakte kya ❓,Positive
thanks sir helpful❤,Positive
kudos bro 👏 tought really well,Positive
hey ho import data sql excel,Neutral
hii face one issue border creation output table row create without border please help,Positive
assignment 1select limit group order,Positive
do phd physic want switch career data analyst complete youtube course update cv linkedin easy get job salary expect first job,Positive
highly appreciate effort way make thing understand even though equipped english understanding simple hindi language always relatable dont usually drop comment helpful wish continue u newly transition career helpful thank video,Positive
student mca final year thankyou sir 🥰 nice video thanks again🥰,Positive
video amaze doubt clearthanks alot,Positive
appreciate knowledge rishab sir thank much wonderful sql tutorial,Positive
cte clearly one example,Negative
really appreciate work well explain thanks content,Positive
rishabmishraofficial pay course sql begginer advance level,Positive
thanks sir amazing👍👍,Positive
👍,Positive
thank much rishabh whole course id really helpful way explain fabulous one best sql course youtube🙌,Positive
thank much rishabh whole course id really helpful way explain fabulous one best sql course youtube🙌,Positive
maja aa gaya sir love ❤️❤️,Positive
best course sql learn,Positive
thank bro videobest video online ❤❤❤❤keep,Positive
thank sir provinding leactureby watch full clear cognizant interview,Positive
sir python ka one shot full tutorial video upload kar dijiyefull python cover z,Positive
importexport error hint copy instructs postgresssql server process read file,Neutral
hi sir first thanks tutorial im face error insert value table little background create table name profile create 5 column name id name age city salary however cant inser value table due error im get error message error column id relation profile exist line 1 insert profile id name age city salary sql state 42703 character 22can please help,Neutral
bro use microsoft sql sms bit different one create error query return suggest switch different one,Negative
thank sirbecause cours get first job special join function diagram,Positive
exactly difference int numeric format data accept also give int age column default length,Neutral
suggest front end,Negative
group select order limit order execution sql,Negative
thanku much video,Positive
working👨‍💻 data analyst tigeranalytics nice see people like u share knowledge youngster,Negative
order execution answerselectfromwherelimitgroup byhavingorder,Positive
select fromwhere group order limit,Negative
thanks bhaiya sql course enjoy whole course give deep understanding sql one thing missingas mention country table cte lecture example multiple ctes please provide present note also last thanks bhaiya,Positive
hello rishab sir face another issue try convert csv file use sql command teach throw error hint ask sort permission also unable manually directed please give solution,Neutral
thumb,Positive
document provide kijiye bhai saheb share path download,Neutral
selectfromlimitwheregroup byhavingorder byis right rishabhmishraofficial bhaiya,Neutral
thank explain hindi great way,Positive
sir ye pg admin kya h,Positive
select fromwheregroup byhaving limitorder hope sequence,Negative
selectfromwheregroup byhavingoder bylimit,Positive
rishab bhayya cte ke lie 3rd table jo ap dikha rahey hen country woh na hi link apney share kia hy aur na hi github ab user bechara latak gaya 😁🤣 practice kesey karega cte🤔,Neutral
explanation next levelthanks god bless,Positive
sir ek video run total per bhi bana jiss main two table ho aur usmain ek iddatebill nameitem qty aur total ho doosre main iddate name payment ho maine bhut dhoonda lekin mere hisab se result nhi mila main non banda hoon aur education bhi 10th ki hai please help,Positive
brother explain well believe also learn sql youtube channel🇮🇳🙏,Positive
hi rishabh sir sir always put column name double comma use statement unlike try use without put comma give error column name doesnot exist table please help,Neutral
hlo sir good eveningsir help sql please sir exam 1st feb face issue relate sql query please reply,Positive
halo sir forget password posgresql help,Positive
u r amaze less time u cover topic sql,Neutral
rishab course enough mastering sql entry level job,Positive
sir mai non background hoon abhi currently mba complete kiya h mujhe data analyst banna h kya ye important h ki aapke pas certificate hona chahiye data analyst ka data analyst banne ke liye please tell mai bina certificate ke kisi company data analyst ki profile par kaise job loon,Neutral
sir mai non background hoon abhi currently mba complete kiya h mujhe data analyst banna h kya ye important h ki aapke pas certificate hona chahiye data analyst ka data analyst banne ke liye please tell mai bina certificate ke kisi company data analyst ki profile par kaise job loon,Neutral
thank much,Positive
selectlimitfromwheregroup byhavingorder,Positive
select limitselect whereselect group order,Negative
sir full python data analytics ka full course bnao list pls,Positive
bhai ek request hai aap store procedure ka video bana dena please thank you😊,Positive
bhai delete operater delete row doesnt make change actual database right,Positive
sql base pr job lg shakti hai kya,Positive
mean first create database edit,Positive
select group order limit quick assingment 1,Negative
admit make course accord sql course codecamp,Positive
non person get job learn sql,Positive
anyone solve query try register server even try connect time show connection time try every possible step 10 make time problem 100 500 do every possible thing anyone solve please,Positive
hi rishabh sir useful video learn sql fundamental sequence command select fromlimit select select fromgroup byhavingorder thanks,Positive
hello rishabh sir maan lo 2 table hai employee department agar empid employee table mai hai department table mein nhi hai uski query kaise hogi matlab data ek table mai hai dusre table mai nhi toh query kaise aayegi,Neutral
difference integer numeric value,Neutral
thank much making video,Positive
watch till 2537❤baki kal dekhunga,Negative
thank rishabh video explanation good video help u learn,Positive
thanks sir quality content 🙏🇮🇳,Positive
perfect 👍,Positive
copy timestamp function work mysql workbench issue flaw software,Positive
select mode sumamount total paymentgroup mode orderby totalhaving id1limit 5,Negative
select customer age20 group age age15 order dsc limit 10,Negative
bro file give description bhai love ho gya mera paper h database ka kamal bht achi pdf bnai h ap ny thank much bro❤,Positive
file upload,Neutral
10516 selectfromwheregroup byhaving order bylimit order top bottom,Positive
hello rishabhim unable download pdf sql document link could please reshare would really helpful,Neutral
sb kuch smjh aagya 😅😇,Positive
follow business analyst roadmap excel hear learn sql 🔥,Positive
hi rishab bhai thanks spread knowledge quick assignment 01 select group order limit,Positive
able create data base sql work bench please help regard ti,Positive
sql order execution get datafrom join raw filterwheregroupinggroup bygroup filterhavingreturn expressionselectorder pagingorder limitoffset,Neutral
cte quarry na aaya samjh sir,Positive
hi rishabh thanks valuable knowledge could please suggest knowledge share tutorial enough get job base sql skill share tutorial,Positive
thanks bro hope help,Positive
pls put english subtitle,Negative
pls put english subtitle,Negative
selectfromlimitorder bygroup byhaving,Positive
thank much sir,Positive
specifies table table retrieve data filter row base specified condition group group result set one column filter group base specified condition select specifies columns retrieve result set order sort result set base one columns limit limit number row result set,Positive
zelect payment datefrom customergroup payment datehaving amount30,Positive
thanku sir,Positive
bos finally first content able complete whole decade thankful simplicity look forward one one session quick call please let know google meet zoom skyp call would really really helpful,Positive
nahi ho raha h brother show error query likh raha hu phir bhi error show ho raha h,Positive
download pdf,Neutral
rishabh2655 write column name like id nameagecitysalary accept throw error use id nameagecity salary go return table,Negative
quick assignment 01select mode roundavgamount 2 avgamt payment group mode roundavgamount 2 40 roundavgamount 2 55 order avgamt desc limit 3,Positive
hi friends👋 hope good 2024🥳 im excite share late power bi youtube video you🤩 filter top 10 value power bi table 👉 wwwyoutubecomwatchvwfdh6wpbiwt22s check id love hear comment let know think dont forget like subscribe hit notification bell stay updated power bi tip trick,Positive
dont know write comment appreciate ur effort vvv tank 😇,Neutral
delete tablename also like truncate difference,Positive
bhai able describe effort word,Neutral
nice course,Positive
great workcan export excel file csv sql output,Neutral
sql advance pls sql injection please,Neutral
sorry bhai galti se laggaya,Neutral
watch big bos munawar bhai,Negative
10032,Positive
hi rishabhcan practice learning sql server studio pg admin,Neutral
would say really appreciate 23444 hour long free tutorial people like make possible learn free,Positive
nice work,Positive
rishabmisharoffical hello sir im look internship search internship recently comeplete pythontableausql,Positive
simplify bos thanks ton promote around community please share linkedin🎉,Positive
hey rishabham able get expect output window aggregate functionit show sum single row show newid onlycan please help resolve,Positive
helpful content make video sql practice question,Positive
selectlimitfromwheregroup byhavingorder,Positive
alter table alter column datatype alter nahi ho rahi plz share,Positive
hi good work keep upwhere practice free download free database practice,Positive
bhai main usa se hu thora program run nahi ho pa raha hai thora simple trika se samjhoge please thank,Neutral
thik👍,Positive
1854,Positive
nice👍,Positive
1440,Positive
complete thank sir 🔥,Positive
1701,Positive
sir ap offline tutions bhi provide krtey ho,Neutral
hello sir pakistan learn sql video benefit lot explanation style awesome,Positive
finally complete exercise thanks sir valuable content,Positive
assignment selectfromwhere group byhavingorder bylimit,Positive
yar ye folk mat bola kro faltu lagta,Positive
select group order byasc dsc,Negative
sir practice kaha se kare,Positive
ust complete full sql course✅ must say one best course series come across really helpful u make learn easy understand keep good work man 😀,Positive
selectfrom group order limit,Positive
4216,Positive
updated video sql server 2022youtube9p9f0a5im5osi7snv4armyx1p9kpw,Negative
save pgmyadmin 4,Positive
good compilation simple compact,Positive
course ki pdf kaha milegi,Neutral
think order execution give question select group order limit10515,Positive
thank 😊,Positive
thank much complete course sir every good explanation,Positive
hii sir pdf link work,Positive
guru please create videos intermediate level learner,Neutral
hi rishabh amazing style understandable keep,Positive
sir way teach ultra pro,Neutral
kya ye complete course hai,Neutral
dint tell instal pgsql configure please let know,Neutral
insert customer id name age city salary value 1 sam 26 delhi 9000 2 ram 19 bangalore 110000 3 pam 31 mumbai 6000 4 jam 42 pune 10000 put query show errorerror column age relation customer existplease reply help,Positive
able import data postgre sql sir,Positive
show inset data excel,Positive
face issue import data csv file sql,Neutral
sir video sufficient sql course please reply sir,Positive
anyone please explain ’ unable export sql query post gres well sql,Neutral
hi rishabh bhaiyathank much amazing course initially scar sql course make easy im able solve sql problem confidently,Positive
thank you🙏 much sir kind explain information sql,Positive
thank you🙏 much sir kind explain information sql,Positive
1 select2 from3 where4 limit5group6 having7order,Positive
tutorial say table name either capital small basically case sensitive check use mysql could access table use small capital letter,Neutral
thanks insight video beginner sql seem easy due way u explain,Neutral
select fromwhere 4group columnname age 20 order columnname limit 10,Positive
fromwheegroup byhavingselectorder limit,Positive
rishabhmishraofficial first answer quick question isselect group limit order bydont know correct,Negative
people learn create good education learn video kudos mann thanks lott,Positive
really great mentor hat sir rishabh mishra,Positive
thank sir,Positive
hi rishab join data scientist course work professional finance background session well online classesits easy understand,Positive
sir create table mai aapne query kaise paste ki hai,Positive
thank much,Positive
query sql add row new column value int,Positive
pdf download plz share link,Neutral
sql ko install kaise kare,Positive
mza aa gyabhagwan apko achhi biwi den sukoon dene wali,Positive
thank anyone say want lean sql ill recommend video great,Positive
selectfromwhere group byhaving order limit correct sequence,Positive
selectfromwherelimitorder bygroup byhaving,Positive
select,Negative
select limit order group,Negative
sql download,Neutral
download sql run program,Neutral
sir way talk teach beautiful outclass love pakistan,Positive
hlo sir im face issue download pg4 u guide,Neutral
sir make realtionship three table,Positive
thankyou sir 😊,Positive
14710 instead use subquery put amount avgamount,Neutral
bro postgre sql kon sa download kry suggest plz,Neutral
hi rishabh deepti thank amaze video start learn sql video download pgadmin4 right leave side show server add postgre sql database thanks advance,Positive
hello sir page 78 pdf file please answer,Neutral
rishabh bhaiya u lot effort un great mentor u,Positive
need video trigger view,Neutral
kya ye complete sql course hai,Neutral
good,Positive
assignment1 an select limit wheregroup order,Negative
whatsapp,Positive
pdf kha se download hogi sir,Neutral
helpful video thanks,Positive
comprehensive even dummy learn sql thank brother😄,Positive
like teach style ❤,Negative
rishab thank complete sql tutorial great job well many pay 12hrs udemy course request future video 1 create similar 230 hr video machine learn data analytics 2 2hour video basic stats ask data analytics interview 3 advance level python project data analytics use machine learn 4 12 hr video guesstimate ask data analyticsbusiness analytics interview,Positive
22500,Positive
best sir whole youtube effort incredible thanks lot sir,Positive
kya hi gajab bana dia bhai thanks lot valuable content,Positive
website link practice,Neutral
20000,Positive
146,Positive
thanks video sir,Positive
10511 answer1 select 2from 3where 4group 5having 6order 7limit,Negative
really thank provide informative series complete series 2 week gain lot knowledge sql thankyou much keep up👍,Positive
10634 yo half way do,Positive
thanks,Positive
13425,Positive
know abou sql basic much advanced level sql learn,Positive
please explain function still sure,Neutral
group select order limit,Negative
hank much 😄,Positive
video gem thank sir,Positive
actually im face login postgre soq,Neutral
amaze,Positive
think assignment answer fromwheregroup byhavingselectorder bylimit rishabhmishra struggle get prefect video study learn try pay course use even teacher dont teach perfectly like sir halfway end video thank reply question support dont feel learn youtube way u support motivation,Positive
answer assignment question isselectfromwheregroup byhavingorder bylimit,Positive
ive download pgadmin 4 im able add server whenever try add new server put name ip address host nameaddress show error say connect tcpip address kindly help,Neutral
5448,Positive
informative,Neutral
010023,Positive
bhut bhut sukriya sir,Positive
select limit group order,Negative
rishabhmisraofficial hi sir get mentioed error error column custid relation health exist line 2 custid custname age city salary sql state 42703 character 21,Neutral
2922,Positive
rishabh bhai apne bhi itna help nahi karte jitna aap kiye ho abhi tak thankyou,Positive
excellent bro keep good worki learnt much videosyou make write good comment becuase excellent content😅otherwise barely comment video,Positive
selectfrom limitwheregroup order,Positive
thanks lot brother,Positive
dear risbah ji live class sql azure,Positive
select group order limit ka idea,Positive
amazing work 👍,Positive
please help get data one sql server view another sql server data update automatically,Positive
select group limit order,Negative
need jn english pls bro 😢🙏🙏🙏,Negative
database work basic beginner question,Positive
awesome bhai appreciate follow content usa please make video power bi excel,Positive
attracted work due way organize lovely however dont understand hindi language kindly make available english thank,Positive
commendable effort sir allow u make proud reach top height line helpful affordable accessible kudos sir,Positive
good work brokeep,Positive
good helpful explanation sqlhere mistake prepared document aggregate window function 15930 wrong output give window aggregate function use order newid order clause dont want line line execution,Negative
selectfromwheregroup byhavingorder bylimit,Positive
job data analytics compulsory certificate data analytics yes no🤔🤔🤔,Neutral
nice bro pay fee intellipath need hindi explanation u clear well apni hindi language best hai english mein dikkat hota hai kabhikabar samaj ne mein,Neutral
best lecture sql sir make concept easy understand good easy examplesthank much sir💐🙌,Positive
sir sql installation ka process batao,Positive
bro kya itne topic require data analystics ke liye,Neutral
hi rishabh complete data analyst course fresher till didnt get job watch sql video really amazing😊😊 want know one thing video enough cleaning company interview need learn please reply 🙏🙏,Positive
bhai note bhi pdf de dete acha hota,Neutral
mod nei bhai mode,Neutral
excellent job fellow like u one question nom background never ever see tool like still want make career field help please share download pdf thank,Positive
insert cx one showing error r excutingsame u do even try u show comment way still show error reason error,Positive
didnt understand copy command part importing csv,Neutral
owsm experience sir,Positive
good teacher thankyou sir,Positive
assignment 1 answer select limit group order,Negative
sql database use video,Negative
👌 👏 👍totally awesome,Positive
error column custid relation customer exist line 1 insert customer custid custname age city sql state 42703 character 23getting error insert customer function resolve,Negative
thankyou much sir u best,Positive
sql sufficient else,Neutral
hi rishabh thank videoi like one important think select sab kuch table😀 😅,Positive
sir say abount online compilar please suggest name online compilar learn sql 🙏 please guide sir,Positive
column custid relation customer existplease help execute please help anyoneerror 42703,Positive
select billingcountry counttotal totalamount invoice group billingcountry totalamount 7 order totalamount desc limit 3,Negative
youre great sir amazing way learn teach concept smooth easy understand beginner always hearts kind service thank,Positive
try open drive link sql pdf document blank page come screen,Positive
hi rishabh please make video plsql😢,Positive
word say amaze tutorial maja hi aagaya sir 🥺🥺🥺,Positive
select limit group orderby,Negative
well explain,Positive
amaze sir,Positive
hi per experience soon rise world skillsbasically non prepare data sci viedos amaze,Positive
thank wonderful video bhaiya twomorrow end term exam watch video douts sql completedthanks,Positive
really great learn experience thank,Positive
thank much sir,Positive
sir get 5432 error code import csv postgresql,Positive
adddanice sonding,Positive
hi sirthank guide uscould please help biti confuse studied one top nit collegei work core sector 1 year 1 year gap gather enough knowledge require till 1 year experience data engineerplease tell ctc expect discuss interview 62lpa early,Positive
helpful session🤩🤩loved cleared concepts😇thanksssss,Neutral
answer question execution sql 1 from2 where3 group by4 having5 select6 order by7 limit,Positive
2631,Positive
sir error dikha raha ha,Positive
error could open file dcustomercsv read file directory hint copy instructs postgresql server process read file may want clientside facility psqls copy 4014i get error csv stepcan anyone help resolve error,Neutral
explain clearly,Neutral
nice explanation sir best udemy site n channel,Positive
amaze rishabh sir thank explanation,Positive
thank much sir❤ nice explain understand concept doubt,Positive
completet cover relation,Neutral
greeting pakistan lot love,Positive
hey thanks sql pdf document description box great help,Positive
hi rishabh mishra face issue create table sql lock sign appear right column name fix issue,Neutral
deserve like subscriber broyet itnaa hardwork kiya hai iss video meitna saara acha material 🙌🌟,Negative
nice videothank youplease teach phython well,Positive
want know use sql cd amdp eclipse hana studio,Negative
simple book want refer sql abap s4 hana case statement function,Neutral
watch directly subscribe truly excellent video thanks rishab,Positive
thanks bunch take 4 day complete totally worth get ta consistently practice question thankyou keep topic short point one curious enough figure oneself little guidance good one shot love nepal,Positive
sir query run kindly guide meinsert harshit1 custidname age city salary value 1 deepa 26 delhi 9000 2 shiv 34 gzb 8900 3 pulkit 55 inderlok 9090 4 jitendra 44 sahibabad 9090,Positive
much helpful session thanks,Positive
hi rishab sircan restore data turncated table please answer,Neutral
thanks rishabh make wonderful video,Positive
yaar rishabh thank much bhaut simple aur jldi khtm krne wale course banaye h kam se kam 3 saal se mujhe aisa teacher nai mil rha tha finally learn sql,Positive
mind blowing,Positive
sirthe order execution sql isselectfromwheregroup byhaving causeorder bylimityou write order right,Neutral
software download link,Neutral
sir make data entry form insert data table make report data purpose type plate form use,Positive
hello rishabh watch video almost 1011 month video upload want know video enough study full sql beginner like nothing much need video😊,Negative
really helpful thank ❤❤,Positive
people earn money sell courseyou earn respect blessing middle class ’ take money heaven people like take blessing go like this❤😊,Positive
3850 import excel file csv sql possible use mysql command line client,Neutral
thanks rishabh even 1 year old video get value,Positive
bhai aapne table bnata time customer wala alag id dali thi aab alaag h try kr rha hu sub h fir bhe mujha error show hora ha,Negative
thank easy way explain help understand concepts🙏 look voice like munna mirzapur 😃 fun amazing👌,Positive
2703,Positive
stored procedure trigger,Positive
select group wherehavingorder limit correct statement,Negative
select group order limit,Negative
thank sir like teach style content also ppt thank,Positive
pdf file kahan hy😊,Neutral
👍,Positive
thanks much helpful ❤🙌,Positive
22732 inside cte function window function averageprice shouldnt partition instead order use order window function calculate average basically calculate cumulative average previous customerids customerid righthowever ideally windowfunction give average subclass customerids right,Neutral
bhai tu vo hostel daze wala jat hai n achha improvement kiya knowledge,Neutral
thank bottom heart video make hindi explain sql good way able learn lot sql video please send contact number,Positive
sir download sql live practice,Neutral
bro lucid explaination like lecture muchthanks much best wish,Positive
nice,Positive
hey try download postgresql multiple time able show support try download late version ie 16 facing issue download follow step accord video u provide,Neutral
order executionselect limit group order,Positive
sir please provide late link download sql ppt mention link description box show error,Neutral
pdf document get download show error could please help,Neutral
attach pdf file opening,Neutral
sir im able downlord ppt error 404 show kindly helop,Positive
excellent 👌👌👌 work do 👍 thank bro,Positive
excellent man,Positive
select citycountsalary total detail city punebangloremumbaigroup cityhaving countsalary 2 countsalary 6order city desclimit 1 execution flow,Positive
thanks❤,Positive
hi sir get free certification detail give complete sql learn way teach awesome ❤,Positive
assignment 1 an isfrom select group order limit,Negative
hey rishabh teach style awesome thanks lot thathere order execution sql select group order limit,Positive
time stamp 010516order execution go belowfromjoin applicablewheregroup byhavingselectorder bylimit,Negative
love sir,Positive
sir viewstriggersstored proceduresuser define function,Positive
shukriya rishab thanks lot rock tum bahot zabardast insaan ho world need people like u sab sey achi baat yeh hai k tumne yeh video hindi mey banayi hai,Positive
loved way explain learn alot thank 🙏,Positive
copy command work sql workbench,Positive
3009 good exercise finding alter command sql alter table customer add column gender char alter table customer rename column city location change datatype use alter column alter table customer alter column age smallint set default value column email alter table customer alter column email set default unknown remove default value column email alter table customer alter column email drop default,Neutral
nice simple clear point explanation sirthanks much upload put valuable effortskeep great jobgod bless,Positive
able operate pgadmin install server,Positive
please provide u step install mysql,Neutral
sir ye bta delete data duplicate postgresql,Positive
bhaiya pls make vedio sql intermediate level,Positive
hi rishabhthank much sql course good elaborated simple language example teach skill fantastic help non guy well guy thanks,Positive
bhai jisme table creat kr rhe ho ap iska link dedo download nhi hora hai,Neutral
thanks brilliant amazing course❤,Positive
thank make course provide lots mean learn process,Positive
thanks sir❤,Positive
sir want learn sql course,Positive
thank please make one mote video interview question 🙏 ❤,Positive
hi rishab ask one question excel sheet date format ddmmyy give change format yymmdd mysql workbench,Neutral
sir esme sql full course hai,Positive
add space naam use concate function,Neutral
bro ek confusion tha ki transform data power bi whats use use sql second clean data use sql connect sql data power bi query data convert new file happen im onfused,Neutral
sumthin wrong insert part wrong dont know bt exactly step step bt result section error column custid relationship customer exist,Neutral
explanation super broh,Negative
sir download file github u pls tell stepsso practice,Neutral
thanks amaze video,Positive
bhaiya ek solid sql project wala video mil jaaye toh maza aa jayega 🙂,Negative
order execution select group order finally limit,Neutral
ever try insert value try see table create use select fuction saysthere already object name customer database new sql please help,Positive
join,Positive
subquery use logical operator exist operatorwhat difference exist operator rishabhmishraofficial,Neutral
hi rishabh check lots material youtube sql one best channel find really appreciate effort simplicity dedication keep bro 👍👍 love bangladesh,Positive
easy way teach,Neutral
sir practice,Positive
dear sir pakistan sql microsoft sql amazon rds different function,Positive
