text,sentiment
you're a true visionary,Positive
what a great vision you have,Positive
this is 3 years old? is it not supposed to be outdated?,Neutral
it is a awe-inspiring,Positive
you're a visionary,Positive
it covers the basics sufficiently,Neutral
some parts of the video caught my attention,Neutral
i can tell this is your best effort,Positive
explained very well,Positive
the presenter seems to have a decent grasp of the topic,Neutral
you're a shining star,Positive
repetitive content,Negative
the video is poorly structured,Negative
okay i will back again😓,Negative
the information is neither revolutionary nor outdated,Neutral
the explanations are confusing,Negative
i don't have strong feelings about it,Neutral
i just tried their service for 10 usd and i am shocked. how ?! in a moment whaaaattt,Negative
the material is confusing,Negative
the quality is sufficient for its purpose,Neutral
"the audio quality is so bad, i can barely hear anything",Negative
the presenter's lack of enthusiasm is palpable,Negative
i'd rather listen to nails on a chalkboard than watch this again,Negative
"to be honest, i learn more from your videos than i do in my school",Positive
some viewers may find certain parts of the video more engaging than others,Neutral
this video is splendid,Positive
i truly love your channel. keep doing the best work.,Positive
i've seen more educational content on saturday morning cartoons,Negative
it's neither impressive nor disappointing,Neutral
out of this world,Positive
can i get pdf?,Neutral
😒,Negative
absolutely phenomenal,Positive
absolutely outstanding,Positive
this is a superb video,Positive
you're a gem,Positive
it provides a broad overview,Neutral
the video lacks depth,Negative
you're a marvel,Positive
you're a powerhouse,Positive
this video is glorious,Positive
it covers the basics adequately,Neutral
the presenter's explanations are clear,Neutral
incomplete,Negative
amazing,Positive
"the presenter's accent is so thick, i can't understand a word",Negative
can anyone explain the purpose of counter and how to utilize it,Neutral
the quality meets basic standards,Neutral
this has just basic info,Negative
you're a creative genius,Positive
the quality suffices for its purpose,Neutral
the material feels outdated,Negative
inaccurate,Negative
slow,Negative
gon na start watch today 16jan 2024,Neutral
this was a delight to read,Positive
the explanations lack clarity,Negative
the video offers a balanced perspective on the topic,Neutral
found your video at the perfect time when i needed the most,Positive
what an astounding observation!,Positive
absolutely magnificent,Positive
"this video is okay, but it lacks excitement",Neutral
empty content,Negative
this video is like a bad dream that never ends,Negative
the material lacks depth,Negative
you're a force to be reckoned with,Positive
poor quality,Negative
not good,Negative
video is good but the tutor is very irritating with voice and his accent,Negative
good see teacher ❤,Positive
the content is presented in an unbiased way,Neutral
the presenter communicates clearly,Neutral
some parts are more informative,Neutral
you're an absolute gem,Positive
the pace is consistent throughout,Neutral
incomplete information,Negative
deserves million views,Positive
sir..code is needed in pdf or word file. will it possible to download from anywhere,Neutral
the visuals are decently executed,Neutral
great video,Positive
data science: transformers for natural langage processing,Positive
transcendent,Positive
the content is repetitive,Negative
the explanations are overly simplistic,Negative
the duration of the video seems appropriate,Neutral
the explanations are unclear,Negative
this video gave me a headache,Negative
it provides a general overview,Neutral
the presenter lacks passion,Negative
the quality suffices for its purpose,Neutral
the pace is consistent throughout,Neutral
this video is like a bad joke that never ends,Negative
tq,Positive
you’ve achieved so much,Positive
the video offers a brief introduction to the topic,Neutral
"horrible video quality, can't even see what's on the screen",Negative
it offers a fair overview,Neutral
the information in this video is completely useless,Negative
magnificent,Positive
it has repetitive content,Negative
painful,Negative
certain segments of the video are more engaging,Neutral
this video is awkward,Negative
you are a snappy problem-solver,Positive
it covers the fundamentals adequately,Neutral
you make me want to learn more,Positive
this video has poor content,Negative
i have no particular feelings about this video,Neutral
could we find the introduced covid19.csv file to exercise with? in github there is no file provided :/,Negative
this really shines,Positive
the explanation is overly simplistic,Negative
the production quality of the video is acceptable,Neutral
this video excellent content,Positive
you're a true visionary,Positive
grand,Positive
some viewers may find the information in this video helpful,Neutral
cool,Positive
the material is rushed,Negative
the material is confusing,Negative
for the problem in control flowa = float(input()),Negative
this video is a waste of bandwidth,Negative
podrian enviarme el libro del link de la descripción? es que no me llega al correo automáticamente.,Negative
the presenter's explanations are clear,Neutral
the information presented is relatively straightforward,Neutral
"worst teacher ever, wastage of time",Negative
"overall, the video is neither exceptional nor poor",Neutral
i remain neutral towards this,Neutral
disorganized mess,Negative
you're a trailblazer,Positive
i appreciate the effort put into making this video,Neutral
the presenter appears knowledgeable,Neutral
you're a virtuoso,Positive
i really like your creativity,Positive
this is right on target,Positive
wonderful,Positive
this video is a disgrace to education,Negative
you have really improved,Positive
you're a marvel,Positive
it gives a basic understanding,Neutral
i can't believe i wasted my bandwidth on this trash,Negative
it's neither exceptional nor terrible,Neutral
this video made my day. keep it up,Positive
the presenter presents the information in a neutral manner,Neutral
inaccurate information,Negative
the presenter communicates clearly,Neutral
this video was terrible. Waste of time,Negative
the presenter communicates the information clearly,Neutral
i'm indifferent towards this video,Neutral
i'd rather watch a snail race than sit through this again,Negative
you're a creative genius,Positive
🤧,Negative
you're a virtuoso,Positive
🙌🏻,Positive
the content is difficult to grasp,Negative
good,Positive
you are so clever,Positive
the material is outdated and irrelevant,Negative
i've never been more disappointed in a video,Negative
i've seen better educational content on cereal boxes,Negative
from where can i download covid_19_data.csv?,Neutral
i'm indifferent towards it,Neutral
Very helpful class mam,Positive
hellow,Neutral
this is a fabulous video,Positive
you're an absolute marvel,Positive
content is outdated,Negative
the video lacks creativity,Negative
the presenter's delivery is dull,Negative
i thank you wholeheartedly for making this video. this have been utterly and outmost useful. you are outstanding in explaining complex topic and being able to make us understand all the difficult bits.,Positive
thank you man,Positive
the presenter delivers the content in a clear manner,Neutral
this is a epic one,Positive
you are an amazing,Positive
this video is the epitome of wasted potential,Negative
the video could benefit from additional depth on certain topics,Neutral
spectacular performance,Positive
i don't feel strongly about it either way,Neutral
the presenter articulates well,Neutral
the pace remains steady,Neutral
watching this video was a complete and utter waste of time,Negative
overrated lecture,Negative
april 2024,Neutral
absolutely sensational,Positive
the presenter articulates well,Neutral
the explanations lack clarity,Negative
certain segments offer more insight,Neutral
this is a tedious one,Negative
confusingly explained,Negative
glorious,Positive
"at 9hrs, 3 more to go initial part was boring af - but imp for foundationedit: completed full 12 hrs ✅amazing course.review: you wont become master of python, you'll be introduced to all basic libraries and some functions.nowsome programming practice2. peobability 3. machine learning maths from nptel",Positive
you're a true genius,Positive
thanks,Positive
😕,Negative
awesome content,Positive
awesome,Positive
the video covers the basics of the topic,Neutral
unbelievable talent,Positive
i maintain a neutral stance on this,Neutral
😢,Negative
"i have seen tons of courses, this one must be the absolute most annoying one. cant stand this guy",Negative
i'm indifferent towards it,Neutral
great explanation,Positive
this is inaccurate video,Negative
doesn’t it feel good to do such great work,Positive
data science is 5% and python 95% in this video. false title of the video.,Neutral
💜,Positive
it provides an introduction,Neutral
the presenter has a clear speaking voice,Neutral
the presenter communicates clearly,Neutral
some parts are more informative,Neutral
the video provides a balanced view of the subject matter,Neutral
the content is repetitive and dull,Negative
absolutely magnificent,Positive
certain sections offer more insight,Neutral
i've never been so frustrated watching a video before,Negative
perfect,Positive
remarkable effort,Positive
i love your neat work,Positive
absolutely stunning,Positive
i don't have strong feelings about this,Neutral
"""go buddy, enjoy!! "".. love it :d:d:d:d",Positive
nice explanation,Positive
i am so proud of you,Positive
the video could benefit from additional clarification on certain points,Neutral
i will complete tomorrow goodnight everyone hope you all achieve your dreams,Positive
this has incomplete content,Negative
this video has beautiful contentthis video is flawless,Positive
you can do hard things,Positive
stale,Negative
i'd give this video a negative rating if i could,Negative
this video is confusing and frustrating,Negative
thanks,Positive
🫶🏻,Positive
disjointed explanation,Negative
my opinion of this video is neutral,Neutral
"this video is so bad, it's almost comical",Negative
this is hands-down the worst educational video i've ever seen,Negative
the visuals are decent enough,Neutral
why is azerbaijan twice in the end covid plots and also when we wrote for loop,Neutral
this wasted my tym,Negative
this is a stale video,Negative
😏,Negative
the pace is consistent throughout,Neutral
absolutely superb,Positive
this video made me get more confused ,Negative
some parts are more informative,Neutral
you're a true artist,Positive
the video quality is subpar,Negative
it's neither exceptional nor terrible,Neutral
they give biased info,Negative
the explanations are too simplistic,Negative
the presenter articulates well,Neutral
some parts of the video are more informative than others,Neutral
the quality meets basic standards,Neutral
*machine learning: natural language processing in python (v2),Positive
I regret watching this,Negative
i feel indifferent about this video,Neutral
this is beautiful,Positive
this video didn't evoke strong feelings in me,Neutral
lacking,Negative
absolutely phenomenal,Positive
the presenter explains concepts clearly,Neutral
fabulous,Positive
wasted,Negative
this video is like a bad joke that never lands,Negative
you're a true legend,Positive
some parts offer more insight,Neutral
empty,Negative
i neither loved nor hated this video,Neutral
cluttered,Negative
watching this video was the biggest mistake of my life,Negative
😓,Negative
"i’m appreciating your work, and my all doubts are clear",Positive
the video lacks depth,Negative
certain segments offer more insight,Neutral
you are a star,Positive
you're a true champion,Positive
fantastic,Positive
nichespanel: hold a pint,Neutral
the video could be improved with more detailed explanations,Neutral
the content is disorganized,Negative
this video has fabulous information,Positive
repetitive,Negative
the presenter maintains a neutral tone throughout the video,Neutral
cool,Positive
this is a horrible video,Negative
the information presented is neither revolutionary nor outdated,Neutral
absolutely splendid,Positive
the video lacks creativity,Negative
basic,Negative
inappropriate,Negative
you saved my hours of effort with just a few minutes video,Positive
you’ve really grown,Positive
"this guy talks a lot, way more than required.",Neutral
the material is presented in a dry manner,Negative
the material is too basic,Negative
thanks sir,Positive
this video is a dumpster fire of misinformation,Negative
34.35,Neutral
"hello guys, is prior python knowledge and experience required to follow this course or is everything of python that is needed explained in this video?",Neutral
you inspire me,Positive
watching this video was a complete and utter waste of time,Negative
the presenter rambles on and on without saying anything useful,Negative
some points are worth considering,Neutral
i’ve never witnessed such awesome editing as this one,Positive
incredible,Positive
exceptional work,Positive
"the presenter is so dull, it's like watching grass grow",Negative
disorganized.  could have cut down the content to less than half if it was better organized instead of going back and forth writing code then changing your mind and deleting it.  once is while is okay but this was constant - too much waste of time.,Negative
shallow,Negative
you're a true virtuoso,Positive
absolutely brilliant,Positive
miraculous,Positive
the production quality is adequate,Neutral
this is a persuasive argument,Positive
i don't feel particularly strongly about it,Neutral
i don't have strong feelings towards this,Neutral
it neither stands out nor disappoints,Neutral
the delivery is amateurish,Negative
the examples provided are irrelevant,Negative
the pace is consistent throughout,Neutral
i don't have strong feelings towards this,Neutral
the production quality of the video is decent,Neutral
the video lacks depth,Negative
thanks a lot for this video!,Positive
the content is disorganized,Negative
hard to understand his english.,Negative
tedious,Negative
the pace is consistent throughout,Neutral
bản mở đầu,Neutral
absolutely breathtaking,Positive
remarkable,Positive
it offers a general insight,Neutral
some parts contain useful information,Neutral
you're a true inspiration,Positive
great,Positive
the presenter appears knowledgeable about the subject matter,Neutral
certain segments offer more insight,Neutral
impressive skills,Positive
damn. who is the instructor?,Negative
    rate = float(input(fplease enter rate per hour for {name}: )),Neutral
phenomenal,Positive
this guy is obviously good at writing codes but he's terrible at teaching. in the entire video he never bothers to explain the logic behind what he's doing and why he's doing a particular thing. he just talks as he types and he's extremely confusing.,Negative
what an amazing course!  thank you sir.,Positive
vivid language choice,Positive
the content was average,Neutral
you’ve come a long way,Positive
not all heroes wear a cape.,Negative
"this video is so poorly organized, it's hard to follow",Negative
i'm dumber for having watched this,Negative
i feel neutral about this video,Neutral
biased viewpoint,Negative
it neither impresses nor disappoints,Neutral
soo is good,Positive
Fully understand,Positive
1st day 24th january 2024,Neutral
congratulations,Positive
"the presenter speaks too fast, can't keep up",Negative
"i typed <b>nichespanel</b> in the search engine and i am shocked. are people seriously buying this? and does it really work? 0,1 usd? no way xd",Negative
"terrible presentation, couldn't understand a thing",Negative
lazy explanation,Negative
the information is presented in a straightforward manner,Neutral
💙,Positive
some viewers may find certain sections more engaging,Neutral
the pace is consistent throughout,Neutral
i maintain a neutral stance on this,Neutral
you show great attention to detail,Positive
biased,Negative
how much do we need to know about data structure before we dive in datascience?,Neutral
"thank you your course was very helpful, i have now got a basic understanding of python. i found the videos engaging and thoroughly enjoyed it. point ot note - although the course video is 12 hours, if you are a novice like me it will take you over 20 hours to complete, going back and forth on the video to understand when you have misstyped some of the python code!",Positive
fantastic,Positive
the information presented is neither groundbreaking nor outdated,Neutral
best,Positive
this is the phenomenal one,Positive
you are so intelligent,Positive
the pace remains steady,Neutral
you're a true inspiration,Positive
I appreciate your well taught classes ,Positive
the pacing of the video is consistent,Neutral
fabulous,Positive
"so for finding the index of the element in the numpy array we can use where function with numpy arr = np.arange(0,101,2) index = np.where(arr = 12)[0][0] print(index) output: 6",Neutral
excellent,Positive
i wish i could unwatch this video,Negative
some sections contain useful information,Neutral
absolutely remarkable,Positive
really bad english,Negative
the information is neither groundbreaking nor outdated,Neutral
has pointless content,Negative
this video is a prime example of educational malpractice,Negative
it provides a general overview,Neutral
i love your creativity,Positive
i want my time back after watching this disaster,Negative
i don't have strong feelings about this,Neutral
"this video is a joke, and not a funny onethis is boring video",Negative
"your videos are catchy, i never miss a single second of them",Positive
how do i get the datasets,Neutral
the explanations are confusing,Negative
uninspiring presentation,Negative
where is this data set?,Neutral
beautiful,Positive
the material feels outdated,Negative
certain sections offer more insight,Neutral
absolutely spectacular,Positive
you're a legend,Positive
the content is presented in a boring manner,Negative
the quality is sufficient for its purpose,Neutral
awe-inspiring,Positive
the information is presented in a simple manner,Neutral
it lacks depth on certain topics,Neutral
it presents a balanced perspective,Neutral
the quality is adequate for its purpose,Neutral
the quality of the video is adequate for its purpose,Neutral
i've seen better educational content on public access television,Negative
the length of the video is appropriate for the content covered,Neutral
the presenter's delivery is uninspiring,Negative
i should really get on this,Neutral
is this updated enough to be learnt in 2024?,Neutral
"this teacher is so unengaging, i can't focus on the content",Negative
the presenter's lack of knowledge is astounding,Negative
can anyone let me know that this much is sufficient for python or not?,Neutral
this is fab,Positive
it's neither exceptional nor terrible,Neutral
this video is magnificent,Positive
"i am new to data science i just started so, can anyone help me what next to learn when i finish this course.",Positive
this is top-notch,Positive
some viewers may find certain sections more engaging,Neutral
the video feels like a chore,Negative
biased perspective,Negative
you have great ideas,Positive
i don't feel strongly about it either way,Neutral
✌🏻,Positive
some sections contain useful information,Neutral
this video is an embarrassment to the field of education,Negative
the presenter seems to have made an effort to explain things,Neutral
watching this video was like watching paint dry,Negative
the presenter lacks enthusiasm,Negative
you're an absolute gem,Positive
you're a true genius,Positive
great video! very informative and helpful.,Positive
absolutely outstanding,Positive
please do c programming,Neutral
i'd rather watch paint dry than subject myself to this torture again,Negative
"sorry i have a questionwhen i installing the package "" plt"" . that is displayed "" error: could not find a version that satisfies the requirement plt (from versions: none)error: no matching distribution found for plt ""  i need help :/ pls",Neutral
i don't have a strong opinion either way,Neutral
"wow, youtube is getting better at recommending videos",Positive
i'd rather read a dictionary than watch this again,Negative
you are so ambitious,Positive
what is bothering you so much?,Negative
i'd rather watch a snail race than sit through this again,Negative
madam like specialize c welcome c001lectureure exactly look like pay course watch 👍👍,Positive
does anyone have extensive notes for this video?,Neutral
"enjoy your teaching style, all things to the point. great content",Positive
the content is repetitive,Negative
beauty,Positive
marvelous,Positive
user will enter a floating point number let say 238.915. your task,Positive
i admire you,Positive
you're on fire,Positive
"overall, it's neither exceptional nor poor",Neutral
you're unstoppable,Positive
# displaying the pays in a structured format,Neutral
"this video is so bad, it's almost comical",Negative
the video lacks coherence,Negative
it could use more examples or case studies,Neutral
"the presenter's explanations are so unclear, it's like they're speaking in code",Negative
you're a true leader,Positive
use ful one👍,Positive
such creative videos you’ve on this channel,Positive
this is fascinating information,Positive
this video is like a bad dream that never ends,Negative
this video is awesome,Positive
the video feels like a waste of time,Negative
this video provides some good information,Neutral
"love this video, i think i’ve watched it four times",Positive
"i am currently pursuing data science as a future career, and thinking about going full-stack (data analytics, engineering, and science), does this covers the fundamentals of all 3?",Neutral
the examples are unrelatable,Negative
"wow, this video quality is awesome",Positive
the presenter's lack of charisma is astounding,Negative
i don't have any strong feelings about it,Neutral
the presenter's explanations are clear,Neutral
this video should be used as an example of what not to do in education,Negative
impressive,Positive
i remain neutral towards this,Neutral
this is inappropriate,Negative
the presenter lacks charisma,Negative
this is really a transcendent video,Positive
this video is done by a genius,Positive
the presenter delivers neutrally,Neutral
you are unstoppable,Positive
the presenter seems to have put effort into explaining the concepts,Neutral
very poor,Negative
certain segments are more informative,Neutral
"the way you explain everything is so fine, there’s no need to watch another video",Positive
you have brilliant thoughts,Positive
great example,Positive
the presenter explains the concepts clearly,Neutral
disorganized,Negative
this video might be helpful to some viewers,Neutral
12 ghantai chutiya katra hai bhai pgl hai kya,Neutral
is to find out the integer portion before the point (in this case 238),Neutral
"the presenter's explanations are so convoluted, it's laughable",Negative
i'm pretty sure i lost brain cells watching this,Negative
interesting thoughts,Positive
the content is repetitive,Negative
the video feels like a chore,Negative
i’ll donate these guys big bucks after i got a job in it. never thank them enough!,Negative
i don't have strong opinions either way,Neutral
absolutely remarkable,Positive
the video covers the fundamentals of the topic,Neutral
the quality suffices for its purpose,Neutral
you're a true visionary,Positive
"the content is so basic, it's insulting",Negative
flawless,Positive
some viewers may find certain sections more engaging,Neutral
this made me miraculous,Positive
the information in this video is outdated and irrelevant,Negative
❤️,Positive
poor water,Negative
i’ve just realized that i’ve been watching your videos for about two years,Positive
wonderful ideas,Positive
the presenter communicates clearly,Neutral
some viewers may find it helpful,Neutral
some aspects of the video are better than others,Neutral
this video lacks even the basic content,Negative
iam very great ful to this channel this channel made my dream come true it's really a great harvard university for students like me❤❤❤,Positive
supreme,Positive
i have a neutral view of this video,Neutral
remarkable,Positive
some viewers may find certain parts more interesting,Neutral
the material lacks depth,Negative
you're a creative force,Positive
it's average in both quality and content,Neutral
it provides an introduction,Neutral
the presenter's voice is clear and understandable,Neutral
🥴,Negative
"this video was okay, but it could be improved",Neutral
this person teaches very slow,Negative
this video leaves me feeling indifferent,Neutral
the examples provided are irrelevant,Negative
plzzzzzz can you help me how to slove the problem plzzzzzz its not undersatanding to slove the problem plzzzzzz help me plzzzzzz ,Neutral
"this video is a joke, and not a funny one",Negative
🙌,Positive
the presenter's explanations are confusing,Negative
it gives a brief introduction,Neutral
thanks,Positive
absolutely phenomenal,Positive
nice explanation,Positive
"very useful in getting started with python, after that their is another course of freecodecamp regarding pandas which you should see for going for data analysis using pandas",Positive
it offers a general insight,Neutral
the video quality meets basic standards,Neutral
the presenter's lack of knowledge is astounding,Negative
the video provides a basic overview of the topic,Neutral
pointless video,Negative
what bright thinking,Positive
why our lecturers can not be like this,Positive
unengaging,Negative
it has cluttered info,Negative
507 brain computer heart 😁😁😁,Positive
i have no strong opinions about this video,Neutral
finally! completed the whole coure,Neutral
i've seen better educational content on infomercials,Negative
the production value is passable,Neutral
the pace remains steady throughout,Neutral
"it covers the basics, nothing more",Neutral
what terrific skills you’re showing,Positive
🤍,Positive
how can you keep stand after twelve hours of tutorial???? o_o,Negative
it is uninspiring,Negative
you have calming voice,Positive
"you’re working so hard, may all your wishes come true",Positive
come to my rescue,Positive
poor,Negative
masterful,Positive
the video is average in terms of quality and content,Neutral
glad watch 😍,Positive
the material is too basic,Negative
useless,Negative
the quality is sufficient for its purpose,Neutral
the content feels rushed,Negative
the presentation lacks energy,Negative
i have a neutral stance on this,Neutral
? & ?? <help function> dont work in jupyter notebook - what is the right syntax?,Neutral
i love how motivated you are,Positive
a wide range of topics is addressed,Neutral
stellar,Positive
iam start today complete month,Neutral
you're a maestro,Positive
"this is clear, concise and complete",Positive
the presenter delivers the content clearly,Neutral
you're a true champion,Positive
"around the 10th hour, sound quality got worse",Negative
very boring,Negative
some viewers may find certain sections more engaging,Neutral
the video could be improved with more examples,Neutral
the presenter's explanations are clear,Neutral
this is an exemplary video,Positive
i really can’t thank you enough for such interactive content,Positive
you are gifted,Positive
🤔,Negative
the presenter's lack of enthusiasm is contagious—in a bad way,Negative
😔,Negative
you are showing inventive ideas,Positive
you're a true talent,Positive
the examples provided are uninspiring,Negative
some viewers may find certain sections more engaging,Neutral
the presenter articulates well,Neutral
very dull,Negative
some viewers may find certain sections more interesting,Neutral
you're a powerhouse,Positive
what a disappointment,Negative
the video quality is acceptable,Neutral
masterful,Positive
it is a phenomenal video,Positive
the pace is consistent throughout,Neutral
the presenter communicates clearly,Neutral
dazzling examples,Positive
the information presented is neither groundbreaking nor outdated,Neutral
nice,Positive
i have no strong opinions about it,Neutral
astounding,Positive
the video feels like a waste of time,Negative
good see teacher ❤,Positive
"this video is so boring, i fell asleep halfway through",Negative
"overall, the video was neither exceptional nor terrible",Neutral
this gets my seal of approval,Positive
"bundle of thanks sir ,i have done the course now and i have learn lot of things about python..<br>now ,i am working on it more .... and again thanks sir",Positive
it provides an introduction,Neutral
can anyone suggest me if this video is enough to learn python completely since i have no background in computer science and this is first course video.,Negative
flawed,Negative
i've seen better educational content on kids' shows,Negative
the examples provided are uninteresting,Negative
i can’t thank you enough for such a well-researched video. perfect video on the subject,Positive
divine,Positive
awesome,Positive
this video is a dumpster fire of misinformation,Negative
how do i get the datasets,Neutral
jargon,Negative
you did your best,Positive
stale presentation,Negative
the presenter communicates clearly,Neutral
"hi. can you please respond to me sooner? i download  anaconda and now i am confused to use the python interpreter. in the macbook ""terminal"" is already download and i even can use python interpreter but i do not want to take the risk if it damages the system. so shall i download python as org again. i use jupyter in anaconda as you mentioned.thank you for the video btw.",Negative
the material is too basic,Negative
i'd rather watch grass grow than subject myself to this torture again,Negative
awkwardly presented,Negative
the length of the video is appropriate,Neutral
the presenter's explanations are clear,Neutral
i have a neutral stance on this video,Neutral
i appreciate your hard work,Positive
dislikes are from people who bought whitehatjr. :-),Negative
great thinking,Positive
this video is a masterclass in how not to teach,Negative
the video feels tedious,Negative
i have a neutral stance on this,Neutral
is there something good in udemy course for the python. did they have more practical aspect. or is it sufficient.,Positive
dumb,Negative
"hi thank you so   much , but i have one doubt l[2]  should 0 not -4 as you said in the course(in the beegning of the tutorial )",Negative
the presenter seems knowledgeable about the subject,Neutral
i love this,Positive
the pacing is painfully slow,Negative
certain sections offer more insight,Neutral
my opinion is neutral,Neutral
you are so artistic,Positive
horribly dull,Negative
absolutely brilliant,Positive
masterpiece,Positive
the content feels outdated,Negative
i have mixed feelings about this,Neutral
i neither liked nor disliked it,Neutral
is this good for data engineers? i mean can a data engineer learn with this?,Positive
you're a true inspiration,Positive
not as expected,Negative
this is a amazing video,Positive
i value these thoughts,Positive
i love your channel. subscribed,Positive
